Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,15.11508667,19.39022808,21.08233132,20.05812647,19.26222591,21.22852508,21.8535582,24.11178836,23.96737274,21.97681939,25.42712413,26.72198648
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,35.69741439,43.34627395,53.38657905,53.08906056,52.40639365,54.05115314,55.46221912,55.76078481,51.58494694,55.9518373,62.08317498,59.47718589
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,43.86084584,40.17083148,43.27355666,37.79477749,46.42764939,48.54786473,54.09229386,49.0506275,35.62355587,46.48874717,59.98684807,49.04536789
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,54.16077069,38.04756286,37.92839504,36.33769995,33.21725656,32.28157918,35.83997844,35.56414314,24.24032456,29.49713693,39.42708809,39.74613802
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,101.627082,79.18066703,96.05075125,82.90638896,74.16594852,75.88692791,79.25252192,76.48596076,72.92860713,89.68125996,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,5.908316487,12.34420123,18.98966,17.33667379,13.92120448,12.81974689,12.67478794,13.09475734,10.44278806,10.6627789,12.88222643,13.15716383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,43.13071411,43.23582285,39.88358133,39.93320609,36.41946456,35.6181818,41.0558673,41.77753167,29.20076442,30.22779821,34.28200158,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,45.95842956,69.21082134,54.94111369,58.01023245,62.50934712,66.78991565,70.45454545,65.09440964,61.01214926,70.83203772,63.05118689,66.81901876
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,61.61369096,72.54739516,79.80100907,77.80528215,79.42961547,83.18241025,83.07962947,82.39718206,78.66790638,87.90139849,95.70223544,86.68123029
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,40.91135267,42.99816761,55.83477358,51.52884275,47.28639522,49.7956097,51.58007103,51.89676947,37.62917626,47.66058995,52.37495587,53.6187719
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,19.18130301,20.60530255,31.43084112,24.72045121,27.60678807,27.20559478,27.27423062,29.63052719,19.87247043,20.91880618,21.65320955,21.19345399
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,..,..,51.16124321,49.97083946,49.33005658,48.53814925,51.47915638,51.7434244,47.13613634,48.68356424,50.4634529,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,27.96167193,28.00141116,34.71704995,32.01767979,27.52878968,28.44640562,29.1897198,31.4575059,28.0656367,29.19874171,25.79165184,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,22.77698214,18.27474497,43.29308799,30.86829603,24.48800554,24.90414437,25.98879506,24.96726228,20.27258979,27.82534591,32.61155485,27.28012912
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,..,21.88381875,33.98912011,35.11487563,35.90870939,40.32441117,41.98456356,40.04007111,34.18149214,42.57332144,48.12588416,44.12899198
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,55.05540706,51.83181007,61.28296789,53.09089734,54.61135476,42.92004249,44.22814392,37.08781766,31.29028367,41.91084364,43.54187995,31.6635491
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,8.197238059,10.188048,11.01194282,12.90019142,12.46667904,12.51896787,14.6349995,14.12291919,16.45355201,19.10943037,19.630765,18.11027942
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,61.80849397,67.35433192,68.17708045,52.21059737,49.57690627,49.5732417,51.93312769,57.94604054,57.35611142,80.16891081,86.38935688,76.53483036
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,33.11919208,36.21885676,64.59442237,63.80715712,63.8820004,67.01330027,65.70952328,63.94547846,56.13079826,61.40108431,69.19400366,60.88276999
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,10.96669141,8.844717485,26.93200415,26.10764554,25.9159648,26.45238564,28.07890614,29.25769566,31.77686569,32.88771005,31.53441302,28.85556519
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,7.872992294,6.318970594,8.696021194,6.417273565,6.38452219,6.026574329,5.685654314,5.172039999,4.54932,5.00029,4.971098508,5.263385206
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,17.13196947,27.00721854,37.24829248,41.13545234,41.47294872,42.06880358,45.86599346,46.70503314,25.29337077,23.84979836,39.73305861,39.72133377
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,..,49.84623523,62.60347417,61.71842376,61.28152493,60.68195781,61.59572751,61.09129653,62.35036961,66.75446212,68.3352523,73.14889556
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,20.1829144,24.85681273,23.60997553,20.98914963,18.94997876,18.35109858,18.73625347,19.85009075,15.23573698,16.51564102,19.29148408,18.3
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,25.07429896,44.20923582,31.73657587,31.84996096,31.50257241,31.45441015,32.32540373,32.35269582,29.47364723,31.21635296,33.84504756,33.53640807
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,..,..,..,..,..,74.02181724,71.58784905,69.47102566,59.63359878,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,17.06746887,20.37221359,16.67578759,17.06766062,14.82187966,17.25977376,15.94003,15.75538,15.17248,13.22746,12.3005,14.44082621
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,13.48020825,16.89009643,34.16136289,30.00176089,26.29503676,33.87296248,36.19068245,36.74225344,26.71614905,38.75012725,49.32013393,43.50441166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,32.49457682,30.12375388,33.00390297,29.19107949,27.92315811,28.33137683,28.52904474,27.87466776,31.33039024,31.9735835,35.51510707,31.13673653
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,13.61471017,20.8937073,23.51006091,21.35407988,19.58438005,19.69227699,19.11210354,18.40999232,18.5861392,19.94397383,20.79148225,19.74307349
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,18.86266903,15.91513972,16.63474911,15.65021151,14.71713928,15.14528975,15.89971968,15.86803865,13.52227556,16.19700595,20.23240039,17.76035462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,8.836453792,8.836314059,9.676472177,10.13619831,10.67289558,11.90131645,12.90902299,12.77346063,5.671752108,10.80732162,12.71607965,12.95586148
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,..,11.44961203,36.83218885,27.7255678,23.9564422,35.25052218,32.55352826,25.8676651,28.60495153,40.38582957,45.49794997,44.2459902
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,51.77735958,80.29714722,53.13363837,40.85704879,42.06852605,47.96273166,62.2105923,56.19881617,40.71904091,52.83657086,63.81214686,56.8959278
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,34.19026834,42.93032218,31.36291528,29.99565786,31.2600963,32.76268315,33.73851078,34.32532156,31.90649766,36.17635703,40.56655498,37.2888642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,31.68987467,27.79005856,28.15695876,27.35324379,24.94186245,25.4987866,22.69419992,22.66048877,20.99346848,22.29626784,24.52664233,22.86575045
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,..,35.09903407,42.50098044,45.4201754,46.54123751,48.79497586,48.95598282,50.16314507,41.09416749,49.35389898,58.83715998,54.0256033
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,30.23904521,14.13002938,22.08388454,17.14738881,14.98296913,14.55127048,14.52273339,12.21337438,8.168470394,34.89357191,40.01390498,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,..,..,75.93212143,68.49411643,62.99550991,59.62968928,63.24600087,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,51.50056472,69.96284373,65.95170487,70.01730313,70.48405223,73.83648406,74.96730233,76.48774863,80.68247911,89.40908943,95.03771106,89.35298584
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,32.92262352,48.09098982,81.95427457,80.55877811,79.10707663,79.0271395,76.94357596,73.87978033,69.94877154,72.7282341,76.45232425,72.01070037
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,36.42315547,44.84726556,54.61313944,55.4181744,53.42598052,55.07737678,56.55980449,58.64718222,55.11980167,58.70294413,70.01238944,69.00899989
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,..,..,158.3743113,145.4213075,103.7640251,150.0983615,156.619875,166.7177464,115.6265234,143.0220844,169.0004565,169.1057887
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,..,..,52.41467164,47.32429674,44.63112699,40.87587612,29.19325981,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,30.61070791,35.49782514,25.15139056,23.7615823,23.90937952,23.68214534,23.55143131,23.06928204,18.29569716,21.75270208,22.06273154,21.13875613
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,22.76437202,37.55105976,31.35503669,22.75448573,20.53929116,21.48558739,23.54387085,24.04863482,23.28356241,27.00470957,30.78659674,29.06536882
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,20.35490605,16.20111732,14.24413146,13.18384549,10.34546394,15.01408682,17.98465561,16.64403145,12.47277574,10.56115022,15.08702582,19.10609134
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,18.49698742,26.82727023,29.55287523,29.48617302,28.4585905,29.02976438,28.93437378,29.95590961,24.52679828,28.78149539,31.66505778,31.12620026
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,..,..,65.9632886,56.65847382,51.41282994,58.86310521,59.61453472,51.13074955,40.84544985,45.12755105,57.2376193,47.80804521
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,..,9.670620594,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,..,61.62739432,81.86543288,77.43549844,77.00753774,75.8098541,74.32389785,73.35955444,69.21103086,80.26909523,85.78174381,78.37933194
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eswatini,SWZ,59.02125235,71.2690588,43.85441944,43.10686579,44.05903501,43.51310787,40.43183558,45.64789645,44.91652585,44.05489243,43.83115596,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,..,..,11.64161991,9.363313597,7.812080503,7.629368622,8.372675866,7.939976609,7.127200943,7.631701645,8.243962375,6.593002678
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,43.82778338,51.33555927,53.41428816,53.21649246,54.53633397,56.36529959,52.81800664,55.76971628,47.57038162,52.61316461,62.39811146,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,62.34343434,65.38644571,52.33427559,48.83675558,46.64724139,46.01556504,47.74879577,48.46090215,27.82957341,27.25332827,48.07277537,55.16134835
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,22.14624171,42.03104616,36.48143762,35.40695887,34.81045247,37.54954684,38.46878721,39.8806794,35.78756333,39.47754763,45.41647521,40.96461054
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,20.97573338,28.59497425,29.6666845,30.59262238,30.24753718,30.94863319,31.71366721,31.59205541,27.32773557,30.03499435,34.68639972,32.67942635
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,..,4.698091498,19.70488546,19.61376507,19.61263411,19.55695843,20.97916875,20.59235903,11.29354817,13.10280139,21.09682259,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,46.03850426,69.03217671,44.52089239,46.0320085,44.03534729,50.22675397,54.29907649,51.43107323,47.50476214,55.5421785,61.38385113,56.6963013
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,59.90273626,25.79867432,21.83689544,19.59633316,15.91151182,16.78945539,21.7264295,18.84139797,9.621791887,6.617334726,4.615304242,5.445885253
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,40,22.99446642,39.18188576,40.13724933,39.99929253,45.87655249,49.69554106,54.30430841,36.90032417,42.67436121,52.47887922,49.38640979
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,22.83583656,30.84771157,45.61926331,46.92073836,46.07326285,47.16304068,47.30885914,47.12758088,43.47697967,47.2795201,50.92392973,47.13524833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,16.87789041,48.80225762,28.23190216,33.83170482,31.19323915,33.87687478,33.45489545,37.44959986,31.52542049,30.05511947,34.66404355,34.03675922
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,14.77858859,23.71838095,32.48559818,32.12716124,31.28745626,35.03409423,38.9929061,40.11076393,32.06408533,40.94179961,49.13682964,44.86849659
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,..,..,38.47282302,37.57984513,40.76504771,40.69223375,44.4545789,41.0427005,35.95174701,35.43617497,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,..,..,18.84135472,18.07208139,18.96288765,18.97555297,19.25301603,22.2501967,6.406355646,3.095925569,7.887120116,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,21.02752094,20.1950344,21.74436292,19.82990769,18.75308929,18.4950463,18.16932653,17.61197615,16.34451305,17.71210446,19.01553956,17.19037503
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.31251963,16.81935832,26.68851014,21.49687039,29.37151131,44.66029845,40.20709553,35.04204934,46.67449886,42.98975094,43.67019256,39.16551323
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,9.935989367,13.09278445,16.69412094,25.04671196,23.77473104,26.53438041,25.47686733,27.00268559,23.21774016,24.67900355,21.05098258,17.91949336
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,62.70667077,96.07997321,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,11.9101836,7.357980432,10.97483562,11.76774698,11.60197094,11.00347034,10.78082259,10.55767343,7.003361318,7.137551003,7.238760116,5.270689987
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,31.71605452,53.972183,47.56265473,45.16675746,42.71410478,43.09385484,41.45481656,40.21896374,35.8751401,39.36539836,42.43918179,37.01057486
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,117.2690803,126.0314572,213.0904135,195.8976016,187.0051289,188.9023996,188.339507,177.6513152,176.3044824,204.0142637,194.4774483,176.2155471
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,..,66.85788978,87.12346676,87.52645093,86.40473829,85.91956406,83.75531586,81.52974061,78.67507861,79.94113828,90.41536975,81.20417972
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,33.14640295,32.12990635,51.51909795,51.65172145,47.48403629,45.73224001,46.04676239,43.71324844,33.30964505,37.25462798,45.77997406,43.36806641
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,India,IND,7.053350234,12.99723631,22.96796301,19.81318916,19.15823491,18.79176484,19.9278286,18.6642649,18.68247693,21.39915833,23.20048784,21.89164331
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Indonesia,IDN,27.30575898,40.97730847,23.6659846,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,17.33116828,21.41655564,24.5037442,21.74658177
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Iran, Islamic Rep.",IRN,13.2787418,21.46705757,22.83067239,18.72083451,21.161708,22.73568826,31.1163801,23.48386727,19.42460903,22.83923199,26.81588655,28.63897652
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iraq,IRQ,7.698318329,75.70377422,38.94172645,34.51414644,28.10852368,33.91606341,40.80264203,38.0518682,27.7502773,37.32165283,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ireland,IRL,54.70623773,94.38945778,109.9049477,121.8502384,121.9123608,120.7067314,122.4809464,128.0042429,132.9391552,133.7393556,137.0877814,134.1361029
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Israel,ISR,28.42190977,34.60434617,31.87348912,31.17124903,29.95495989,29.24225587,29.87291646,29.04935295,27.51471658,29.39727111,31.72837991,30.86278317
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Italy,ITA,18.2594375,25.6277321,29.10882819,29.71598237,29.32789075,30.73373332,31.3535542,31.60241973,29.43227703,32.11291448,36.50740165,35.05454365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jamaica,JAM,48.0631754,38.7900457,31.25462497,29.92166548,31.81345561,34.65706257,38.56384829,38.03608075,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Japan,JPN,10.05009591,10.4634942,17.41865535,17.43675984,16.05796924,17.5914391,18.3149456,17.46352643,15.5285155,18.12547664,21.54172312,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Jordan,JOR,59.83484843,41.82739594,42.13390771,36.54443702,34.39521007,34.70653187,35.12775864,36.67120296,24.22707352,30.30705799,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kazakhstan,KAZ,..,56.6024268,39.34175809,28.51670801,31.84388864,32.39775294,37.62521843,36.4389871,30.5289068,33.64486212,41.78127711,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kenya,KEN,25.69260596,21.58757114,16.47280447,15.1287339,13.2497448,12.73665994,12.54197533,11.42799666,9.640399923,10.77418122,12.21524288,11.8410593
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kiribati,KIR,22.30616383,10.86959457,12.04217658,13.93315059,16.60173345,13.19515223,8.178284345,14.9861484,9.489548457,3.715626494,7.260191026,7.398595714
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Korea, Rep.",KOR,24.99434074,33.93916896,47.83142087,42.98956153,40.13265091,40.93420694,41.71329084,39.27586107,36.35959055,41.8772295,48.27176422,43.99566987
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kosovo,XKX,..,..,23.52688544,22.45139286,23.8274048,27.32884488,29.05346472,29.31260746,21.69514688,33.40918273,38.62565701,39.74650783
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kuwait,KWT,44.93894897,56.47217445,68.50606824,53.766258,47.63157436,51.19631565,57.49549486,52.33109179,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Kyrgyz Republic,KGZ,29.20560748,41.84786184,37.44865159,35.18960049,35.82540888,34.25284136,31.60173001,33.47646966,29.58187781,35.80558988,29.94405261,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lao PDR,LAO,11.32876329,30.6620036,40.75454665,33.95225731,33.20942746,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Latvia,LVA,..,36.78486829,61.15472821,60.27538277,59.60708239,61.58943936,61.45894175,60.02102714,60.7512914,64.59124088,72.89352548,64.05959465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lebanon,LBN,17.99278605,14.17755573,23.7561645,23.13966773,21.72615589,21.92693319,20.75452116,20.69775896,16.37258687,26.02562769,34.82877925,46.07745072
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lesotho,LSO,..,..,38.14969533,42.89180371,45.77966521,47.476934,49.83311142,46.20932818,44.16438815,45.35277445,47.22441861,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Libya,LBY,39.67623702,31.55800429,32.238321,22.22737412,14.57788755,27.19725571,39.61350442,41.26120307,14.72758045,68.78834094,68.09127305,68.6302836
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Lithuania,LTU,..,38.59393142,72.27042519,68.77764073,67.58738306,73.59516374,75.20540489,77.2441153,73.09807766,80.06601567,86.7990152,78.49444266
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Luxembourg,LUX,99.71288364,147.6448844,182.7825924,191.835449,191.0986337,192.7475035,197.5013375,206.4116498,203.1202633,213.2226787,211.2782056,212.5306183
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Macao SAR, China",MAC,98.25268817,89.26226342,85.6413449,78.50673324,76.64148702,80.53419918,82.66996164,82.70639313,61.46806209,90.93842518,86.12762464,92.68363383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Madagascar,MDG,12.87027078,19.11966845,28.28191197,28.39064613,29.09256943,30.90263088,31.53602365,28.42440124,20.14207488,22.77428988,30.37377025,32.52959028
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malaysia,MYS,74.4661197,119.8097087,73.79349863,69.4486909,66.77544545,70.01174251,68.55497142,65.27776684,61.57793591,70.62406103,76.95014973,68.41841142
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mali,MLI,15.65359181,22.47859046,22.55548696,24.04370851,23.44291297,22.21409394,24.5223744,25.70529113,30.65663005,27.86714592,28.99385223,28.19221713
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Malta,MLT,75.83362624,120.2491305,149.8125151,154.6181556,157.8013429,158.0969951,160.7029004,163.8180825,173.8024931,166.1773071,165.9871078,166.7126347
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Marshall Islands,MHL,..,28.82352914,49.76905257,44.35735726,36.65666532,39.25331898,39.82891982,37.20632662,35.64308154,46.79639864,46.27261419,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritania,MRT,36.17996812,25.51711571,37.38920072,30.19514476,33.92514055,34.50567753,36.5862504,42.39752404,41.40610428,39.85602326,49.33330183,44.18000674
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mauritius,MUS,64.09392785,60.28256285,52.52465961,51.49785241,49.17407623,48.15516611,46.09626695,44.66714053,39.34979527,44.20173473,55.35439798,53.25002532
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Mexico,MEX,18.70447105,24.23117347,31.4629922,34.16277269,36.81567725,37.51408862,39.04393044,38.4970333,39.24343244,40.67732036,42.76103074,36.20345662
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Micronesia, Fed. Sts.",FSM,..,17.97109638,31.82842674,27.06500271,28.2724,30.6008078,36.37357143,26.79413706,17.2913172,20.10051282,21.0385814,27.34536957
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Moldova,MDA,..,49.60011381,31.52796356,31.80692179,32.86649893,32.5328466,30.69636994,31.19108496,27.91433626,30.64878771,41.24049357,35.53839315
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
